,cycle,producer,resistant,susceptible
0,0,5e-10,5e-10,4e-09
1,1,5.2448962473e-10,5.2497247035e-10,4.1999859878e-09
2,2,5.5016795193e-10,5.5118260791e-10,4.409975097e-09
3,3,5.7709567973e-10,5.7870426892e-10,4.6304663138e-09
4,4,6.0534146627e-10,6.076083503e-10,4.8619832012e-09
5,5,6.3496836349e-10,6.3796380185e-10,5.10507527e-09
6,6,6.6605753354e-10,6.698393748e-10,5.3603206269e-09
7,7,6.9867324353e-10,7.0331232917e-10,5.6283266972e-09
8,8,7.3289330626e-10,7.3846201086e-10,5.9097313577e-09
9,9,7.6879647522e-10,7.7537189592e-10,6.2052042585e-09
10,10,8.0646463527e-10,8.1412812359e-10,6.5154485884e-09
11,11,8.4598149697e-10,8.5482624099e-10,6.8412026184e-09
12,12,8.8743792418e-10,8.9755999148e-10,7.1832415435e-09
13,13,9.3093074687e-10,9.4243124199e-10,7.5423792583e-09
14,14,9.7655576175e-10,9.8954653748e-10,7.919470337e-09
15,15,1.0244202867e-09,1.0390193711e-09,8.3154120275e-09
16,16,1.0746306682e-09,1.0909638456e-09,8.7311464069e-09
17,17,1.1273043984e-09,1.145507226e-09,9.1676625994e-09
18,18,1.1825591419e-09,1.2027778673e-09,9.6259991369e-09
19,19,1.2405260344e-09,1.2629119048e-09,1.0107246414e-08
20,20,1.3013346381e-09,1.326053988e-09,1.0612549281e-08
